ICE;IAMOT
José Machado, University of Minho, Mechanical Engineering, Portugal;
Josip Stjepandic, 3D PC, 3D PC, Germany;
Judith McKnight, Ulster University, Northern Ireland;
Julian Christopher Kettl, Bayreuth University, Chair of Finance, Germany;
Karimah Wan Ahmad, Universiti Tun Hussein Onn Malaysia, Malaysia;
Karl Hribernik, BIBA, Bermer Institut für Produktion und Logistik GmbH, Germany;
Kathryn Cormican, National University of Ireland, Galway, Ireland;
Ketoma Vix Kemanji, Heilbronn University- UnityLab, Germany;
Kevin Reuther, University of the West Scotland, UK;
Kira Rambow-Hoeschele, Robert Bosch GmbH, Germany;
Kjetil Kristensen, NTNU, Department of Engineering Design and Materials, Norway;
Klaus Schäfer, Universität Bayreuth, Chair of Finance and Banking, Germany;
Klaus-Dieter Thoben, BIBA, Germany;
Kristin  Paetzold, UniBW München, Deutschland;
Kurt Becker, APOLLON Hochschule der Gesundheitswirtschaft, Germany;
Laure Morel, Université de Lorraine – ERPI Laboratory, France;
Laurent Dupont, Université de Lorraine – ERPI Laboratory, France;
Laurentiu Neamtu, La Salle URL, Spain;
Leelien Ken Huang, Feng Chia University, Graduate Institute of Management of Technology, Taiwan;
Leila Saari, VTT Technical research centre of Finland ltd, Finland;
Lothar  Schöpe, Smart Living – Anwendungen für Service-Wohnen GmbH, Germany;
Luca Canetta, SUPSI, Switzerland;
Ludwig Martin, HS Pforzheim, Germany;
Luis Camarinha-Matos, NOVA University of Lisbon + UNINOVA, Faculty of Sciences and Technology, Portugal;
Luis F. Silva, University of Minho, Department of Mechanical Engineering, Portugal;
Luis Ribeiro, Linkoping University, Sweden;
Manfred Langen, Siemens AG Corporate Technology, Germany;
Manon Enjolras, Université de Lorraine – ERPI, France;
Manuella Kadar, 1 Decembrie University of Alba lulia, Romania;
Marc Pallot, Arts and Metiers ParisTech, France;
Maria Marques, UNINOVA, Portugal;
Marian Sorin  Nistor, Universität der Bundeswehr München, Germany;
